"Data_source","Product_category","Year","Or_country-name","Ct_country-name","Product_fraudtype"
"RASFF","Cocoa and derivatives",2018,"Venezuela","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Confectionary",2018,"South Africa","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"Belgium","France","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"China","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fruits",2009,"Czech Republic","Latvia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2012,"China","Romania","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2012,"China","Romania","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2008,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2009,"China","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2010,"Poland","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2010,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2010,"Ukraine","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2010,"Ukraine","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2010,"Ukraine","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2011,"Ukraine","Romania","Smuggling-Mislabelling-Origin Masking"
"RASFF","Eggs",2012,"Poland","Poland","Substitution-Dilution"
"RASFF","Eggs",2017,"Japan","Iceland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Oils_Fats",2008,"unknown origin","Spain","Substitution-Dilution"
"RASFF","Oils_Fats",2008,"Italy","Germany","Substitution-Dilution"
"RASFF","Oils_Fats",2011,"Guinea","France","Substitution-Dilution"
"RASFF","Oils_Fats",2011,"Ukraine","Hungary","Smuggling-Mislabelling-Origin Masking"
"RASFF","Oils_Fats",2017,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Oils_Fats",2018,"China","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2009,"Ecuador","Bulgaria","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"United States","Estonia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"Gambia","Netherlands","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"China","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"China","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"Gambia","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2010,"China","Netherlands","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"Ecuador","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"China","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"Ghana","Belgium","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2010,"Gambia","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2011,"France","France","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2011,"Gambia","Germany","Substitution-Dilution"
"RASFF","Fish_Seafood",2012,"Nigeria","Cyprus","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2012,"Japan","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2012,"Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2012,"Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Faeroe Islands","Sweden","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Poland","Poland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Morocco","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Taiwan","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2013,"Ecuador","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Poland","Poland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Italy","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Senegal","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2015,"Senegal","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2016,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"Vietnam","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"Nigeria","Czech Republic","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2018,"China","Portugal","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2009,"Germany","Luxembourg","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2009,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2009,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2011,"Sweden","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2011,"Germany","Romania","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2011,"Egypt","Belgium","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2014,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2014,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2014,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2014,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Bangladesh","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2014,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2015,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2015,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2015,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2015,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2015,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Herbs_spices",2015,"Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2015,"Bangladesh","Sweden","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fruits",2015,"Turkey","Netherlands","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Herbs_spices",2016,"Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2016,"Bangladesh","Greece","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Uganda","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fruits",2017,"Iran","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Herbs_spices",2010,"India","Poland","Substitution-Dilution"
"RASFF","Herbs_spices",2010,"India","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Food_additives_supplements",2012,"Brazil","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Herbs_spices",2015,"Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Herbs_spices",2016,"Vietnam","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Honey",2010,"Croatia","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Honey",2011,"China","Italy","Substitution-Dilution"
"RASFF","Confectionary",2018,"China","Estonia","Substitution-Dilution"
"RASFF","Meat",2008,"Netherlands","Netherlands","Substitution-Dilution"
"RASFF","Meat",2008,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"Lebanon","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"Lebanon","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2009,"Philippines","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2009,"Ukraine","Poland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2009,"Uruguay","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2009,"Iran","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2010,"Pakistan","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2010,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2010,"Brazil","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2010,"Brazil","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2012,"Poland","Sweden","Substitution-Dilution"
"RASFF","Meat",2012,"Vietnam","Finland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2013,"Poland","Ireland","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Ireland","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Finland","Czech Republic","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Czech Republic","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Ireland","Sweden","Substitution-Dilution"
"RASFF","Meat",2013,"Latvia","Lithuania","Substitution-Dilution"
"RASFF","Meat",2013,"Latvia","Lithuania","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Spain","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Italy","Substitution-Dilution"
"RASFF","Meat",2013,"Germany","Austria","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Netherlands","Belgium","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Netherlands","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"Germany","France","Substitution-Dilution"
"RASFF","Meat",2013,"France","France","Substitution-Dilution"
"RASFF","Meat",2013,"Hungary","Poland","Substitution-Dilution"
"RASFF","Meat",2013,"Sweden","Netherlands","Substitution-Dilution"
"RASFF","Meat",2013,"Bulgaria","Bulgaria","Substitution-Dilution"
"RASFF","Meat",2013,"France","United Kingdom","Substitution-Dilution"
"RASFF","Meat",2013,"Romania","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Romania","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Romania","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Hungary","United Kingdom","Substitution-Dilution"
"RASFF","Meat",2013,"France","Italy","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Sweden","Substitution-Dilution"
"RASFF","Meat",2013,"Latvia","Estonia","Substitution-Dilution"
"RASFF","Meat",2013,"Bulgaria","Bulgaria","Substitution-Dilution"
"RASFF","Meat",2013,"Germany","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Latvia","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Ireland","Substitution-Dilution"
"RASFF","Meat",2013,"Bulgaria","Bulgaria","Substitution-Dilution"
"RASFF","Meat",2013,"France","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Ireland","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Netherlands","Substitution-Dilution"
"RASFF","Meat",2013,"United Kingdom","Czech Republic","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Italy","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Italy","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Spain","France","Substitution-Dilution"
"RASFF","Meat",2013,"Estonia","Latvia","Substitution-Dilution"
"RASFF","Meat",2013,"Lithuania","Latvia","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Italy","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Latvia","Substitution-Dilution"
"RASFF","Meat",2013,"Italy","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Romania","Greece","Substitution-Dilution"
"RASFF","Meat",2013,"Malta","Malta","Substitution-Dilution"
"RASFF","Meat",2013,"Portugal","Portugal","Substitution-Dilution"
"RASFF","Meat",2013,"Germany","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Poland","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Poland","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Poland","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Poland","Substitution-Dilution"
"RASFF","Meat",2013,"Brazil","Poland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2013,"Uruguay","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2014,"Brazil","Cyprus","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2016,"Iran","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2018,"Australia","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2008,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2008,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2008,"Egypt","Cyprus","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2009,"Belarus","Romania","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2010,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2010,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2010,"Jordan","Cyprus","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2011,"Poland","Hungary","Substitution-Dilution"
"RASFF","Dairy",2011,"Saudi Arabia","Sweden","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2011,"Taiwan","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2012,"Philippines","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2013,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Dairy",2013,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Soups_sauce",2015,"Iran","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Soups_sauce",2016,"Iran","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Vegetables",2018,"China","United Kingdom","Substitution-Dilution"
"RASFF","Tea",2010,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2008,"China","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2011,"Turkey","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2011,"China","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2014,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2014,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2014,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2015,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Turkey","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2016,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2017,"Iran","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2017,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2018,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Nuts",2018,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"China","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"China","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2009,"China","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2010,"Philippines","Netherlands","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2010,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2011,"China","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2012,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Mixed_foods",2012,"China","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2014,"China","Italy","Substitution-Dilution"
"RASFF","Prepared_meals",2014,"China","Italy","Substitution-Dilution"
"RASFF","Meat",2014,"Thailand","Switzerland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2014,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2015,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Fish_Seafood",2016,"Nigeria","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2017,"China","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2018,"Ghana","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2018,"Thailand","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"China","Slovenia","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2008,"Germany","Poland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2009,"Thailand","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2009,"Poland","Greece","Substitution-Dilution"
"RASFF","Poultry",2009,"India","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2009,"Greece","Czech Republic","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2010,"China","Germany","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2011,"China","Poland","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2011,"China","Denmark","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2011,"Philippines","Norway","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2014,"Belgium","Belgium","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2014,"Belgium","Belgium","Substitution-Dilution"
"RASFF","Poultry",2017,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2017,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2017,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2017,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Poultry",2017,"Thailand","United Kingdom","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2018,"China","Spain","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"Philippines","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Meat",2008,"Philippines","Italy","Smuggling-Mislabelling-Origin Masking"
"RASFF","Prepared_meals",2011,"China","Italy","Substitution-Dilution"
"RASFF","Prepared_meals",2011,"China","Italy","Substitution-Dilution"
"RASFF","Prepared_meals",2011,"China","Italy","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"Italy","United Kingdom","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"France","Germany","Substitution-Dilution"
"RASFF","Meat",2013,"Poland","Germany","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"Germany","Austria","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"Brazil","Italy","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"Germany","Austria","Substitution-Dilution"
"RASFF","Soups_sauce",2013,"Austria","Germany","Substitution-Dilution"
"RASFF","Prepared_meals",2013,"Italy","Italy","Substitution-Dilution"
