Product_fraudtype,Product_fraudtype_new
Substitution,Substitution-Dilution
Dilution,Substitution-Dilution
Artificial Enhancement,Artificial enhancement/Improvement
Mislabeling,Smuggling-Mislabelling-Origin Masking
Intentional Distribution of Contaminated Product,No match
Smuggling,Smuggling-Mislabelling-Origin Masking
Transshipment/Origin Masking,Smuggling-Mislabelling-Origin Masking
